,hour,day_of_year,month,ghi_w_per_m2,temp_celsius,humidity_percent,wind_speed_ms
2024-01-01 00:00:00,0,1,1,0.0,-7.129608457827106,58.78822959392513,4.191752624759405
2024-01-01 01:00:00,1,1,1,0.0,-7.785852665613744,62.99111671818267,4.902284289814591
2024-01-01 02:00:00,2,1,1,0.0,-7.975697685389626,66.00190906103805,4.648832218388459
2024-01-01 03:00:00,3,1,1,0.0,-7.4973646652516255,69.79365929249677,4.574313708706685
2024-01-01 04:00:00,4,1,1,0.0,-6.790772608888443,71.57299740922144,4.78026296681414
2024-01-01 05:00:00,5,1,1,0.0,-5.471600541079066,71.84422991994852,4.569666013927089
2024-01-01 06:00:00,6,1,1,1.6293877476589816e-17,-3.8085537729119907,71.72859489031369,3.937770645783036
2024-01-01 07:00:00,7,1,1,91.47062425240922,-2.3048672842097155,70.86833528869411,4.564124200381841
2024-01-01 08:00:00,8,1,1,200.47302656558026,0.24322954171807404,68.21541863844118,4.441697603094571
2024-01-01 09:00:00,9,1,1,117.21631970874328,2.197134889448489,64.73164798463345,3.899844291159392
2024-01-01 10:00:00,10,1,1,391.47025340403763,4.05096939226409,60.702518337116764,5.081896991020632
2024-01-01 11:00:00,11,1,1,444.31092806150986,5.513021951492384,55.65990644550981,4.070978068179452
2024-01-01 12:00:00,12,1,1,469.2631465396674,6.795784367046948,51.92216604211108,3.4202991968637875
2024-01-01 13:00:00,13,1,1,445.1568871767849,7.936938641365563,47.47732313555688,4.306271343008897
2024-01-01 14:00:00,14,1,1,389.66642991163087,7.910454303844991,43.107436540111514,4.943507518301742
2024-01-01 15:00:00,15,1,1,304.4962423302171,7.735806242753322,40.977700934907766,3.498356041714872
2024-01-01 16:00:00,16,1,1,200.7943937074135,6.938634227526605,38.707833086266994,3.807895994671091
2024-01-01 17:00:00,17,1,1,82.62110805729837,5.699680926074953,37.91218008205884,5.074868363140791
2024-01-01 18:00:00,18,1,1,1.630897562277696e-17,3.976817458977897,38.0911480599148,4.120529492990823
2024-01-01 19:00:00,19,1,1,0.0,2.125069068969884,39.21339133381384,3.5418012190944617
2024-01-01 20:00:00,20,1,1,0.0,0.15793543456529263,42.02257720117619,3.797229030161368
2024-01-01 21:00:00,21,1,1,0.0,-1.953650859167578,45.534747949251624,3.8854370078015514
2024-01-01 22:00:00,22,1,1,0.0,-3.99562924287189,49.66587610306715,4.153671613206292
2024-01-01 23:00:00,23,1,1,0.0,-5.6719225267941855,54.03364213656754,3.5243496201267734
2024-01-02 00:00:00,0,2,1,0.0,-7.124573486511188,58.716441744417494,3.5649563188556463
2024-01-02 01:00:00,1,2,1,0.0,-7.720919629721523,62.930000057420145,3.3174345665767526
2024-01-02 02:00:00,2,2,1,0.0,-8.215939528381435,66.86233195097894,3.4188558747279796
2024-01-02 03:00:00,3,2,1,0.0,-7.534827547507281,69.04541961509833,4.9021244280903185
